병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지,addr_rep,latitude,longitude,시도명,시군구명
아산수내과의원,의원,02-476-7114,5328.0,"서울특별시 강동구 올림픽로 660, (천호동, 203,205,206호)",,서울특별시 강동구 올림픽로 660,37.540169637196,127.124570380688,서울특별시,강동구
삼성윤내과의원,의원,02-2038-7570,6349.0,"서울특별시 강남구 광평로 295, 사이룩스오피스텔 서관 2층 206,207,208,209,210,211호 (수서동)",http://www.samsungyoon.com,서울특별시 강남구 광평로 295,37.4885591040326,127.104470715166,서울특별시,강남구
김대중내과의원,의원,02-459-3441,6367.0,"서울특별시 강남구 광평로 280, 로즈데일오피스텔 2층 202-1,201호 (수서동)",,서울특별시 강남구 광평로 280,37.4873191631489,127.103108072457,서울특별시,강남구
풍성내과의원,의원,02-488-1004,5537.0,"서울특별시 송파구 올림픽로45길 19, 풍성빌딩 2층,3층 (풍납동)",,서울특별시 송파구 올림픽로45길 19,37.5271079462261,127.115874491979,서울특별시,송파구
호수내과의원,의원,02-422-4566,5626.0,"서울특별시 송파구 송파대로 438, 녹십초빌딩 2,3층 (송파동)",,서울특별시 송파구 송파대로 438,37.5059260588638,127.107019269988,서울특별시,송파구
재단법인아산사회복지재단 서울아산병원,상급종합,02-3010-3114,5505.0,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",http://www.amc.seoul.kr,서울특별시 송파구 올림픽로43길 88,37.525171129004,127.109380463701,서울특별시,송파구
삼성서울병원,상급종합,02-3410-2114,6351.0,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",http://www.samsunghospital.com,서울특별시 강남구 일원로 81,37.49034450782,127.089590154403,서울특별시,강남구
이정익내과의원,의원,02-413-7588,5555.0,"서울특별시 송파구 석촌호수로 61, (잠실동, 트리지움상가 5층 507,508,509호)",,서울특별시 송파구 석촌호수로 61,37.5106960472158,127.086224807954,서울특별시,송파구
서울삼성내과의원,의원,02-415-7588,5574.0,"서울특별시 송파구 백제고분로 126, 오룡빌딩 2층3층4층5층 (잠실동)",http://www.seoulsamsungclinic.co.kr,서울특별시 송파구 백제고분로 126,37.5061702039866,127.08075330646,서울특별시,송파구
혜민병원,종합병원,02-2049-9000,5056.0,"서울특별시 광진구 자양로 85, (자양동)",http://www.e-hyemin.co.kr,서울특별시 광진구 자양로 85,37.5354377087993,127.083398686427,서울특별시,광진구
서울삼성내과의원,의원,02-455-6254,5055.0,"서울특별시 광진구 자양로 95, 4층 (자양동)",http://www.seoulsamsungclinic.com/,서울특별시 광진구 자양로 95,37.5362251419146,127.083201674013,서울특별시,광진구
서울특별시 북부병원,병원,02-2036-0200,2062.0,"서울특별시 중랑구 양원역로 38, (망우동)",http://www.bbhosp.go.kr,서울특별시 중랑구 양원역로 38,37.6043947292607,127.10768066266,서울특별시,중랑구
군자제일내과의원,의원,02-452-2320,4985.0,"서울특별시 광진구 천호대로 566, 2층 (능동)",,서울특별시 광진구 천호대로 566,37.5563705452593,127.080646060092,서울특별시,광진구
아산유내과의원,의원,02-457-9589,4985.0,"서울특별시 광진구 천호대로 556, 3층 (능동)",http://asanu.co.kr,서울특별시 광진구 천호대로 556,37.5567339275651,127.079702343554,서울특별시,광진구
윤영석내과의원,의원,02-508-7781,6289.0,"서울특별시 강남구 남부순환로 2912, (대치동, 305,306,307호)",,서울특별시 강남구 남부순환로 2912,37.4907059879875,127.056142941592,서울특별시,강남구
건국대학교병원,상급종합,1588-1533,5030.0,"서울특별시 광진구 능동로 120-1, (화양동)",http://www.kuh.ac.kr,서울특별시 광진구 능동로 120-1,37.5412356316656,127.07205578747,서울특별시,광진구
신우내과의원,의원,02-491-0768,2086.0,"서울특별시 중랑구 망우로 377, 성환빌딩 2,4층 (상봉동)",,서울특별시 중랑구 망우로 377,37.5987491711759,127.094137536933,서울특별시,중랑구
박찬현내과의원,의원,572-5944,6783.0,"서울특별시 서초구 동산로 78, (양재동)",,서울특별시 서초구 동산로 78,37.4724519607463,127.047162649909,서울특별시,서초구
녹색병원,종합병원,02-490-2000,2221.0,"서울특별시 중랑구 사가정로49길 53, (면목동)",http://www.greenhospital.co.kr/main.php,서울특별시 중랑구 사가정로49길 53,37.5835639827081,127.086060385744,서울특별시,중랑구
(의)열린의료재단 강남열린의원,의원,02-3454-0601,6298.0,"서울특별시 강남구 언주로 123, 3층 (도곡동, 개포한신아파트)",,서울특별시 강남구 언주로 123,37.4876033476735,127.049755052514,서울특별시,강남구
서울특별시서울의료원,종합병원,02-2276-7000,2053.0,"서울특별시 중랑구 신내로 156, (신내동)",http://www.seoulmc.or.kr,서울특별시 중랑구 신내로 156,37.6130913124974,127.099186989431,서울특별시,중랑구
(의) 열린의료재단 상봉열린의원,의원,02-435-0875,2148.0,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",,서울특별시 중랑구 면목로 492,37.5959045781572,127.085969061555,서울특별시,중랑구
연세대학교의과대학 강남세브란스병원,상급종합,02-2019-3114,6273.0,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",http://gs.iseverance.com,서울특별시 강남구 언주로 211,37.4928059943729,127.04631039276,서울특별시,강남구
햇살요양병원,요양병원,02-2244-5533,2523.0,"서울특별시 동대문구 장한로 152, 지하1~2층, 지상3 ~10층 (장안동)",,서울특별시 동대문구 장한로 152,37.5740057214541,127.072181420118,서울특별시,동대문구
삼성수내과의원,의원,977-8470,2102.0,"서울특별시 중랑구 동일로 775, 5층 (중화동, 그린빌딩)",,서울특별시 중랑구 동일로 775,37.599688702066,127.079466740593,서울특별시,중랑구
조병수의원,의원,02-541-3991,6011.0,"서울특별시 강남구 도산대로 507, 3층 (청담동)",,서울특별시 강남구 도산대로 507,37.5247511251313,127.048532261589,서울특별시,강남구
소망내과의원,의원,02-571-0875,6737.0,"서울특별시 서초구 남부순환로350길 11, 써밋파크 202, 203호 (양재동)",,서울특별시 서초구 남부순환로350길 11,37.4842860308369,127.035773042596,서울특별시,서초구
신우요양병원,요양병원,02-2214-7582,2509.0,"서울특별시 동대문구 한천로 207, 지하1,지상1,3~6층 (전농동)",,서울특별시 동대문구 한천로 207,37.579542482041,127.068137023958,서울특별시,동대문구
연세더맑은내과의원,의원,02-555-5941,6235.0,"서울특별시 강남구 테헤란로20길 10, 쓰리엠타워 6,7층 (역삼동)",,서울특별시 강남구 테헤란로20길 10,37.4990862800943,127.034141792509,서울특별시,강남구
연세참신한내과의원,의원,,2006.0,"서울특별시 중랑구 동일로 905, 창성빌딩 3층 (묵동)",,서울특별시 중랑구 동일로 905,37.6111164065523,127.0772952912,서울특별시,중랑구
삼육서울병원,종합병원,02-2244-0191,2500.0,"서울특별시 동대문구 망우로 82, (휘경동)",http://www.symcs.co.kr,서울특별시 동대문구 망우로 82,37.5862119387672,127.06355328121,서울특별시,동대문구
동인내과의원,의원,02-2245-0875,2604.0,"서울특별시 동대문구 천호대로 307, 2층 201, 202호 (답십리동, 클래식타워)",,서울특별시 동대문구 천호대로 307,37.5657983700541,127.054762202414,서울특별시,동대문구
한국원자력의학원원자력병원,종합병원,02-970-2114,1812.0,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",http://www.kcch.re.kr,서울특별시 노원구 노원로 75,37.6286068147245,127.083017711933,서울특별시,노원구
큰길내과의원,의원,02-2215-7585,2603.0,"서울특별시 동대문구 천호대로 273, 5,6층 (답십리동)",,서울특별시 동대문구 천호대로 273,37.5678368392544,127.052048442916,서울특별시,동대문구
태릉정원내과의원,의원,02-979-0333,1858.0,"서울특별시 노원구 동일로 1005, 대정빌딩 5,6층 (공릉동)",,서울특별시 노원구 동일로 1005,37.6199276979518,127.074514434411,서울특별시,노원구
한양대학교병원,상급종합,02-2290-8114,4763.0,"서울특별시 성동구 왕십리로 222-1, (사근동)",http://seoul.hyumc.com,서울특별시 성동구 왕십리로 222-1,37.5585815432773,127.045715688792,서울특별시,성동구
세실내과의원,의원,02-3442-2891,6023.0,"서울특별시 강남구 압구정로36길 7, 3층일부, 4층 (신사동)",http://cecilmd.net/index.asp,서울특별시 강남구 압구정로36길 7,37.5280561383743,127.031675252376,서울특별시,강남구
평화내과의원,의원,919-8131,1895.0,"서울특별시 노원구 화랑로 337, 5층 1호,2호 (월계동)",,서울특별시 노원구 화랑로 337,37.6152393519423,127.065169222212,서울특별시,노원구
민현조내과의원,의원,02-948-3456,1852.0,"서울특별시 노원구 동일로 1101, 5층 (공릉동, 하니빌딩)",,서울특별시 노원구 동일로 1101,37.6282542576144,127.071009933961,서울특별시,노원구
서울성심병원,종합병원,02-966-1616,2488.0,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",http://www.sshosp.co.kr,서울특별시 동대문구 왕산로 259,37.5841890473051,127.049819830411,서울특별시,동대문구
하나로내과의원,의원,02-969-7350,2488.0,"서울특별시 동대문구 왕산로 253-1, 3층 (청량리동)",,서울특별시 동대문구 왕산로 253-1,37.5838830336223,127.04947793944,서울특별시,동대문구
서울하나내과의원,의원,916-0875,2788.0,"서울특별시 성북구 돌곶이로 37, (석관동)",,서울특별시 성북구 돌곶이로 37,37.6074705821832,127.060237561967,서울특별시,성북구
더조은요양병원,요양병원,02-941-7800,1904.0,"서울특별시 노원구 화랑로 323, (월계동)",,서울특별시 노원구 화랑로 323,37.6149040212444,127.063652106256,서울특별시,노원구
(의) 열린의료재단 서초열린의원,의원,02-522-0872,6633.0,"서울특별시 서초구 서초대로 320, 하림인터내셔날빌딩 3층 (서초동)",,서울특별시 서초구 서초대로 320,37.4942200198785,127.01657607757,서울특별시,서초구
경희대학교병원,상급종합,02-958-8114,2447.0,"서울특별시 동대문구 경희대로 23, (회기동)",http://www.khuh.or.kr/,서울특별시 동대문구 경희대로 23,37.5937762050989,127.050741696591,서울특별시,동대문구
홍택원내과의원,의원,02-2294-4500,4745.0,"서울특별시 성동구 고산자로6길 40, 2층 (행당동, 레몬프라자)",,서울특별시 성동구 고산자로6길 40,37.5582206987955,127.035482520519,서울특별시,성동구
경희임내과의원,의원,02-960-1080,2490.0,"서울특별시 동대문구 홍릉로 28, 성일빌딩 1,5층 (청량리동)",,서울특별시 동대문구 홍릉로 28,37.5828224947419,127.044683044631,서울특별시,동대문구
연세내과의원,의원,02-2296-7582,4744.0,"서울특별시 성동구 고산자로 234, 8층 (행당동)",http://www.yonseclinic.com/,서울특별시 성동구 고산자로 234,37.5605265052689,127.03526540093,서울특별시,성동구
노원을지대학교병원,종합병원,02-970-8000,1830.0,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",http://www.eulji.or.kr/default.asp,서울특별시 노원구 한글비석로 68,37.6361106543284,127.06968108866,서울특별시,노원구
안석주내과의원,의원,02-959-8275,2560.0,"서울특별시 동대문구 왕산로32길 7, BYC 청량리 오피스텔 5층, 6층 (용두동)",,서울특별시 동대문구 왕산로32길 7,37.5787296170106,127.04179615724,서울특별시,동대문구
중계수내과의원,의원,02-930-0310,1714.0,"서울특별시 노원구 한글비석로 273, 대웅빌딩 3층 (중계동)",,서울특별시 노원구 한글비석로 273,37.652170864325,127.077219064677,서울특별시,노원구
노원이서진내과의원,의원,942-8275,1885.0,"서울특별시 노원구 월계로 334, 2층 203,204,205호 (월계동, 그랑디오피스텔)",,서울특별시 노원구 월계로 334,37.6290173070666,127.057612466252,서울특별시,노원구
학교법인가톨릭학원가톨릭대학교서울성모병원,상급종합,02-1588-1511,6591.0,"서울특별시 서초구 반포대로 222, (반포동)",http://www.cmcseoul.or.kr/,서울특별시 서초구 반포대로 222,37.5023936158073,127.005860604348,서울특별시,서초구
연세강내과의원,의원,3482-0875,6512.0,"서울특별시 서초구 신반포로 177, 3동 3층 (잠원동, 반포쇼핑상가)",,서울특별시 서초구 신반포로 177,37.5060995475667,127.003407328203,서울특별시,서초구
인제대학교 상계백병원,종합병원,02-950-1114,1757.0,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",http://www.paik.ac.kr/sanggye,서울특별시 노원구 동일로 1342,37.6485819883224,127.063115737673,서울특별시,노원구
아산드림의원,의원,02-916-9300,2759.0,"서울특별시 성북구 월계로40길 7, 306~314호 (장위동, 센트럴타운상가)",,서울특별시 성북구 월계로40길 7,37.6229729783825,127.048309344122,서울특별시,성북구
김용수내과의원,의원,02-6245-7070,6683.0,"서울특별시 서초구 방배로 111, 근복빌딩 5층 (방배동)",,서울특별시 서초구 방배로 111,37.4839004182958,126.995637260382,서울특별시,서초구
상계맑은내과의원,의원,02-930-7616,1756.0,"서울특별시 노원구 동일로 1366, 삼봉빌딩 5층 (상계동)",,서울특별시 노원구 동일로 1366,37.6505421411218,127.06197526951,서울특별시,노원구
꿈의숲요양병원,요양병원,02-987-9988,1231.0,"서울특별시 강북구 월계로 183, (번동)",,서울특별시 강북구 월계로 183,37.6205757158557,127.044900910895,서울특별시,강북구
남서울내과의원,의원,02-938-0875,1751.0,"서울특별시 노원구 노해로 488, 4층 (상계동, 근호빌딩)",,서울특별시 노원구 노해로 488,37.6543222923845,127.062168567542,서울특별시,노원구
홈스피탈내과의원,의원,02-796-7566,4418.0,"서울특별시 용산구 한남대로 76, 한남프라자 5층 (한남동)",,서울특별시 용산구 한남대로 76,37.5355614904423,127.006549413089,서울특별시,용산구
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),상급종합,1577-0083,2841.0,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",http://anam.kumc.or.kr/main/index.do,서울특별시 성북구 고려대로 73,37.5873771473625,127.026248862202,서울특별시,성북구
순천향대학교 부속 서울병원,종합병원,02-709-9114,4401.0,"서울특별시 용산구 대사관로 59, (한남동)",http://www.schmc.ac.kr/seoul/kor/index.do,서울특별시 용산구 대사관로 59,37.5342808357653,127.003878033451,서울특별시,용산구
(의) 열린의료재단 동대문열린의원,의원,02-924-0875,3104.0,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",,서울특별시 종로구 종로 335,37.5731036083714,127.0148243418,서울특별시,종로구
고려수내과의원,의원,02-766-0601,3121.0,"서울특별시 종로구 종로 328, 동대문빌딩 4,5층 (창신동)",,서울특별시 종로구 종로 328,37.5723765719721,127.014284464998,서울특별시,종로구
동서요양병원,요양병원,02-942-3611,2733.0,"서울특별시 성북구 동소문로 306, (하월곡동)",http://www.dsh.co.kr,서울특별시 성북구 동소문로 306,37.6068849590178,127.028946905185,서울특별시,성북구
메트로내과의원,의원,02-988-0028,1220.0,"서울특별시 강북구 도봉로 34, 4,6,7층 (미아동, 트레지오빌딩)",,서울특별시 강북구 도봉로 34,37.6120685327599,127.03072164571,서울특별시,강북구
한동철내과의원,의원,02-6324-0202,4348.0,"서울특별시 용산구 이태원로 239, 3층 (한남동)",,서울특별시 용산구 이태원로 239,37.5363911329231,126.999731055395,서울특별시,용산구
성모신사랑내과의원,의원,02-6083-7582,6569.0,"서울특별시 서초구 서초대로 13, 방배 마에스트로 3층 (방배동)",http://www.sinsarang.com/,서울특별시 서초구 서초대로 13,37.4859076526233,126.983849087155,서울특별시,서초구
동대문삼성내과의원,의원,02-6951-2225,4565.0,"서울특별시 중구 을지로 280-2, FIN TOWER 4~6층 (을지로7가)",,서울특별시 중구 을지로 280-2,37.5653694165822,127.009041147239,서울특별시,중구
정태시내과의원,의원,02-980-0875,1205.0,"서울특별시 강북구 도봉로 67, 새한빌딩 2층 (미아동)",,서울특별시 강북구 도봉로 67,37.6151179500675,127.02958154164,서울특별시,강북구
(의) 열린의료재단 혜화열린의원,의원,929-2375,2829.0,"서울특별시 성북구 동소문로 125, 5~6층 (동선동4가)",,서울특별시 성북구 동소문로 125,37.5941562838985,127.01821856847,서울특별시,성북구
국립중앙의료원,종합병원,02-2260-7114,4564.0,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",http://www.nmc.or.kr,서울특별시 중구 을지로 245,37.5677264605676,127.005484601979,서울특별시,중구
서울제이내과의원,의원,02-922-1050,2832.0,"서울특별시 성북구 동소문로 63, 드림트리빌딩 1층 101호, 5층 (동소문동4가)",,서울특별시 성북구 동소문로 63,37.5916727536385,127.012207923918,서울특별시,성북구
금강아산병원(재단법인 아산사회복지재단),병원,02-799-5000,4425.0,"서울특별시 용산구 이촌로 318, (이촌동)",www.asankeumkang.co.kr/,서울특별시 용산구 이촌로 318,37.5176798435221,126.98273008257,서울특별시,용산구
(의)열린의료재단 미아열린의원,의원,02-945-2305,1125.0,"서울특별시 강북구 도봉로 213, 하당빌딩 3,4층 (미아동)",,서울특별시 강북구 도봉로 213,37.6276013250761,127.025262715454,서울특별시,강북구
쌍문성모내과의원,의원,02-903-0875,1442.0,"서울특별시 도봉구 도봉로 511, 2~4층 (쌍문동)",,서울특별시 도봉구 도봉로 511,37.6510954076,127.035709218021,서울특별시,도봉구
서울현대병원,병원,02-1588-6853,1056.0,"서울특별시 강북구 도봉로 374, (번동, 서울현대병원)",www.seoulhyundai.co.kr/,서울특별시 강북구 도봉로 374,37.6402559204261,127.028504374531,서울특별시,강북구
서울대학교병원,상급종합,1588-5700,3080.0,"서울특별시 종로구 대학로 101, (연건동)",http://www.snuh.org,서울특별시 종로구 대학로 101,37.5804523853297,126.997196437908,서울특별시,종로구
서울케이(K)내과의원,의원,02-743-0875,3077.0,"서울특별시 종로구 창경궁로34길 18-5, 2,3층 (명륜2가)",,서울특별시 종로구 창경궁로34길 18-5,37.584120180365,127.000806442921,서울특별시,종로구
정릉아산내과의원,의원,02-910-7010,2710.0,"서울특별시 성북구 보국문로 33, 3층 302,303호 (정릉동)",,서울특별시 성북구 보국문로 33,37.6073770418433,127.010124841427,서울특별시,성북구
의료법인한전의료재단 한일병원,종합병원,02-901-3114,1450.0,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",http://www.kepcomedi.co.kr,서울특별시 도봉구 우이천로 308,37.6466848477493,127.029058318974,서울특별시,도봉구
하늘내과의원,의원,02-2091-1500,1310.0,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",,서울특별시 도봉구 도봉로 759,37.6723293932498,127.043686692857,서울특별시,도봉구
연세백세내과의원,의원,02-6933-3240,1081.0,"서울특별시 강북구 도봉로 295, 스타타워 3,4층 (수유동)",,서울특별시 강북구 도봉로 295,37.6349324947858,127.022926133447,서울특별시,강북구
사랑의병원,병원,02-880-0114,8789.0,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",,서울특별시 관악구 남부순환로 1860,37.4796247835746,126.956285774259,서울특별시,관악구
중앙내과의원,의원,02-815-5385,6979.0,"서울특별시 동작구 서달로 166, 2층 (흑석동, 덕봉빌딩)",,서울특별시 동작구 서달로 166,37.5077644083105,126.962881274043,서울특별시,동작구
중앙대학교병원,상급종합,1800-1114,6973.0,"서울특별시 동작구 흑석로 102, (흑석동)",http://ch.cauhs.or.kr/,서울특별시 동작구 흑석로 102,37.506038005044,126.960421779226,서울특별시,동작구
호내과의원,의원,02-882-0875,8744.0,"서울특별시 관악구 관악로 217, 5층 (봉천동, 동진빌딩)",http://blog.daum.net/ho0875,서울특별시 관악구 관악로 217,37.4843787109112,126.954677353454,서울특별시,관악구
손승환내과의원,의원,02-877-8794,8786.0,"서울특별시 관악구 남부순환로 1794, (봉천동)",,서울특별시 관악구 남부순환로 1794,37.4813134777755,126.949349036309,서울특별시,관악구
연세세림내과의원,의원,02-706-1199,4317.0,"서울특별시 용산구 효창원로 140, 자산빌딩 2,3층 (효창동)",,서울특별시 용산구 효창원로 140,37.5403150904039,126.96199433756,서울특별시,용산구
서울삼성내과의원,의원,02-365-1478,4517.0,"서울특별시 중구 통일로 114, 바비엥-2 2층 201-208호 (의주로1가)",http://www.renalmed.kr,서울특별시 중구 통일로 114,37.5652419713173,126.967932658604,서울특별시,중구
염문선내과의원,의원,02-392-0077,4202.0,"서울특별시 마포구 마포대로24길 56, 3층, 4층 (아현동, 보령빌딩)",http://www.ymsclinic.co.kr/,서울특별시 마포구 마포대로24길 56,37.5515443016696,126.961901271005,서울특별시,마포구
강북삼성병원,상급종합,02-2001-2001,3181.0,"서울특별시 종로구 새문안로 29, (평동)",http://www.kbsmc.co.kr,서울특별시 종로구 새문안로 29,37.5688677261045,126.967812703696,서울특별시,종로구
서울적십자병원,종합병원,02-2002-8000,3181.0,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",http://www.srch.or.kr,서울특별시 종로구 새문안로 9,37.5667630123693,126.967202493985,서울특별시,종로구
의료법인사랑나눔의료재단에보스의원,의원,02-363-2664,3742.0,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 2층 (충정로3가)",,서울특별시 서대문구 서소문로 21,37.5598942603947,126.964085809305,서울특별시,서대문구
연세유내과의원,의원,02-701-5131,4170.0,"서울특별시 마포구 도화길 32, 201호 (도화동, 삼성아파트상가동)",www.yonsei-u.net/,서울특별시 마포구 도화길 32,37.5408411321685,126.949581942072,서울특별시,마포구
유영조내과의원,의원,02-826-8575,6937.0,"서울특별시 동작구 등용로 2, 2층 (상도동, 덕신빌딩)",,서울특별시 동작구 등용로 2,37.504624263051,126.937875816673,서울특별시,동작구
의료법인서울효천의료재단 에이치플러스양지병원,종합병원,02-1877-8875,8779.0,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",http://www.newyjh.com,서울특별시 관악구 남부순환로 1636,37.4843693309109,126.932565485407,서울특별시,관악구
신림연세정내과의원,의원,02-813-0808,8777.0,"서울특별시 관악구 신림로 318, 3층 (신림동, 청암두산위브센티움)",,서울특별시 관악구 신림로 318,37.4825754320038,126.930252917369,서울특별시,관악구
최희정내과의원,의원,02-883-8500,8754.0,"서울특별시 관악구 신림로 350, 6층 (신림동, 서원프라자, 태영아파트)",http://kidney-dr.co.kr/,서울특별시 관악구 신림로 350,37.4855072234589,126.929948753311,서울특별시,관악구
가톨릭대학교 여의도성모병원,종합병원,1661-7575,7345.0,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",http://www.cmcujb.or.kr/,서울특별시 영등포구 63로 10,37.5182708055078,126.936729826762,서울특별시,영등포구
이한규내과의원,의원,02-6951-1577,8708.0,"서울특별시 관악구 봉천로 227-0, 201,202호 (봉천동, 보라매샤르망)",,서울특별시 관악구 봉천로 227-0,37.4900315434017,126.927117551199,서울특별시,관악구
예일성모내과의원,의원,02-813-0075,7060.0,"서울특별시 동작구 보라매로19길 8, 5,6층 (신대방동)",,서울특별시 동작구 보라매로19길 8,37.4979986491213,126.927479828149,서울특별시,동작구
정병천내과의원,의원,02-868-5858,8773.0,"서울특별시 관악구 남부순환로 1550, (신림동)",,서울특별시 관악구 남부순환로 1550,37.4830376494507,126.92286058781,서울특별시,관악구
더맑은내과의원,의원,02-312-7400,4104.0,"서울특별시 마포구 신촌로 162, 캠프21 오피스텔 1층 (대흥동)",http://www.thecleanclinic.com,서울특별시 마포구 신촌로 162,37.556319439695,126.943716084745,서울특별시,마포구
서울특별시보라매병원,종합병원,02-870-2114,7061.0,"서울특별시 동작구 보라매로5길 20, (신대방동)",http://www.brmh.org,서울특별시 동작구 보라매로5길 20,37.493013748157,126.924332456243,서울특별시,동작구
연세대학교의과대학세브란스병원,상급종합,02-2228-0114,3722.0,"서울특별시 서대문구 연세로 50-1, (신촌동)",http://www.yuhs.or.kr,서울특별시 서대문구 연세로 50-1,37.563674036531,126.941917689273,서울특별시,서대문구
연세우리내과의원,의원,02-334-7560,4100.0,"서울특별시 마포구 백범로 10, 101,201호 (노고산동, 현대벤쳐빌)",,서울특별시 마포구 백범로 10,37.553555553783,126.936799599138,서울특별시,마포구
성애의료재단 성애병원,종합병원,02-840-7114,7354.0,"서울특별시 영등포구 여의대방로53길 22, (신길동, 성애병원)",http://www.sungae.co.kr,서울특별시 영등포구 여의대방로53길 22,37.5120505408562,126.922369145801,서울특별시,영등포구
정동균내과의원,의원,701-3415,4100.0,"서울특별시 마포구 서강로 132, (노고산동)",,서울특별시 마포구 서강로 132,37.5538462178158,126.935470953428,서울특별시,마포구
관악플러스내과의원,의원,02-868-4488,8771.0,"서울특별시 관악구 난곡로 299, 5,6층 (신림동, 성안빌딩)",,서울특별시 관악구 난곡로 299,37.4806780051365,126.914368780839,서울특별시,관악구
서울우리내과의원,의원,02-843-1675,7392.0,"서울특별시 영등포구 신풍로 113, 5,6,7층 (신길동, 시월빌딩)",,서울특별시 영등포구 신풍로 113,37.5001399657337,126.918867891098,서울특별시,영등포구
